,CubeSat6U,CubeSat12U,PROBA
HIP 65426 b,0.015847149026265044,0.015847149026265044,inf
USco CTIO 108 b,inf,inf,inf
2MASS J01225093 2439505 b,0.0002044267487538555,0.0002044267487538555,inf
2MASS J22362452+4751425 b,inf,inf,inf
kap A b,0.00016651621200218376,0.00016302099750557567,inf
GSC 06214 00210 b,inf,inf,inf
1RXS J160929.1-210524 b,inf,inf,inf
HN Peg b,inf,inf,inf
HD 203030 b,inf,inf,inf
GQ Lup b,8.366807054367381e-05,8.904026763680047e-05,inf
HD 100546 b,0.003496121127035008,0.003246782603604152,0.00014862257879194
2MASS J04414489+2301513 b,19445556546738.09,5227603621072.752,133282165845.51572
Fomalhaut b,inf,inf,inf
ROXs 12 b,284916192620306.1,284916192620306.1,inf
PDS 70 b,0.025369697856585383,0.004038627962788175,0.00016398809269169612
PDS 70 c,0.13058135408438076,0.05849978481125647,0.0022638115577715734
Oph 11 b,0.00016616765932306888,0.00016616765932306888,inf
HR 8799 b,0.012308789311969378,0.012308789311969378,inf
HR 8799 c,0.015190389399618661,0.012308833587035016,inf
HR 8799 d,0.006128021716361547,0.006300904601724918,0.0003424325175282167
HR 8799 e,0.024150771537789096,0.023812013212199588,0.0009839483472951966
HIP 78530 b,inf,inf,inf
HD 95086 b,0.33760104003767005,0.33760104003767005,inf
HD 106906 b,inf,inf,inf
GJ 504 b,inf,inf,inf
2MASS J12073346-3932539 b,0.0023836757096275126,0.002673842538599168,inf
AB Pic b,inf,inf,inf
bet Pic b,7.886016831138368e-05,9.204469173744177e-05,6.258507356324735e-06
CFBDSIR J145829+101343 b,755677.4604525581,51014.62064817342,11.78212741936809
CHXR 73 b,7923110011985816.0,7234693259631790.0,inf
CT Cha b,inf,inf,inf
DH Tau b,inf,inf,inf
GU Psc b,inf,inf,inf
WISEP J121756.91+162640.2 A b,3.769559929471598,2.9439111437804044,inf
2MASS J02192210-3925225 b,inf,inf,inf
TYC 8998-760-1 b,0.00024460839486492884,0.00024460839486492884,inf
